Category,Name,URL,Description,Icon
常用推荐,YouTube,https://www.youtube.com/,全球最大的视频分享平台。,../assets/images/logos/youtube.png
常用推荐,Z-Library,https://zh.z-library.sk/,全球最大的数字图书馆之一。,../assets/images/logos/zlibrary.png
趣味网站,Keybr,https://www.keybr.com/,在线打字练习。,../assets/images/logos/keybr.png
视频网站,Bilibili,https://www.bilibili.com/,国内知名的视频弹幕网站。,../assets/images/logos/bilibili.png
常用推荐,88看球,http://www.88kq.net/,88看球地址发布页,../assets/images/logos/88kanqiu.png
视频网站,IYF.TV,https://www.iyf.tv/,爱一番盗版视频网站。,../assets/images/logos/iyftv.png
视频网站,Libvio,https://www.libvio.link,提供剧集、动漫、综艺等影视内容。,../assets/images/logos/libvio.png
软件下载,大眼仔旭,https://www.dayanzai.me/,提供各类PC软件、绿色软件、手机游戏、安卓APP、汉化软件及软件教程的下载站点。,../assets/images/logos/dayanzai.png
视频网站,七味网,https://www.qn63.com/,一站式高清影视资源平台，支持免费在线观看电影、电视剧和动漫。,../assets/images/logos/qwei.png
游戏下载,Switch520,https://www.520switch.com/,提供免费游戏资源及破解游戏。,../assets/images/logos/switch520.png
代理工具,一元机场,https://xn--1-q07a56pdss.com/,廉价VPN机场服务。,../assets/images/logos/1yuanjichang.png
工具,GitHub 文件加速代理,https://gh-proxy.com/,快速访问GitHub Releases、Raw等资源的代理工具，支持大文件下载和自动缓存。,../assets/images/logos/ghproxy.png
论坛,NodeSeek,https://www.nodeseek.com/,主机爱好者社区论坛，讨论服务器新闻、优惠、开发经验及开源工具。,../assets/images/logos/nodeseek.png
导航,霂明导航,https://n.mumingfang.com/,创意工作者的优质网址导航，涵盖AI、设计、前端、站长等分类。,../assets/images/logos/muming.png
代理工具,流量光机场,https://llg01.com/,性价比高的VPN机场。,../assets/images/logos/llgjichang.png
软件下载,异星软件空间,https://www.yxssp.com/,非营利软件应用库，提供学习用途的软件分享和资源下载。,../assets/images/logos/yxssp.png
视频网站,网飞猫,https://103.212.99.243:51122/,免费Netflix在线观看,../assets/images/logos/yiyuanjichang.png
